,runstring,m1,m2,m3
213,0000213.bin,7.134580852755099e-07,1.0580851425037453e-06,4.426629446482942e-06
214,0000214.bin,3.598356596961176e-07,8.080095838857058e-07,5.677658470657844e-06
215,0000215.bin,3.11126520848e-06,6.04372089393902e-07,1.7049231205981766e-06
216,0000216.bin,5.798135813357844e-07,1.852408786626157e-06,3.11126520848e-06
217,0000217.bin,9.342703538179216e-07,5.918140628680392e-06,5.013271404317647e-06
218,0000218.bin,3.672832278942157e-06,1.3855580318720196e-06,4.809558379928824e-06
219,0000219.bin,1.0802608179808823e-06,5.919654935984706e-07,4.910358591121176e-06
220,0000220.bin,1.301969157203e-06,4.1606411087978434e-07,9.150915815918627e-07
221,0000221.bin,2.279380940001432e-06,8.963065126449606e-07,3.672832278942157e-06
222,0000222.bin,4.075231154588431e-07,2.747894757997745e-07,4.614123183137255e-06
223,0000223.bin,9.342703538179216e-07,2.8047683141909795e-06,2.635560369296196e-06
224,0000224.bin,9.150915815918627e-07,5.562530020862941e-07,2.0548346116729805e-06
225,0000225.bin,1.7049231205981766e-06,1.8912321425672746e-06,8.249440985079412e-07
226,0000226.bin,1.301969157203e-06,1.126016203600804e-06,6.168808617484117e-06
227,0000227.bin,7.284109603611176e-07,9.53851080683902e-07,2.0126528119148433e-06
228,0000228.bin,1.3855580318720196e-06,3.452138280431176e-07,2.2787978514197255e-05
229,0000229.bin,1.7406554263613921e-06,1.7049231205981766e-06,3.523587661767843e-06
230,0000230.bin,4.5205605196011757e-07,1.3292562292477254e-06,1.0148304482198235e-05
231,0000231.bin,9.942522720410394e-07,6.844668951736863e-07,2.0979004706267447e-06
232,0000232.bin,2.279380940001432e-06,8.420180801076863e-06,7.282246255065293e-06
233,0000233.bin,2.4257214939716864e-06,2.9243147824366665e-07,3.908635036132156e-06
234,0000234.bin,1.036364690961039e-06,1.1496155992553725e-06,6.7024460798252925e-06
235,0000235.bin,1.0802608179808823e-06,2.985603475560588e-07,5.677658470657844e-06
